%%%%%%%userID	taskid	serpIndexinTask	main_rank	deep_rank	content_rank	url
091401	0	0	8	-1	2	#
091401	0	0	8	-1	3	/search?q=enterprise+rental+car&hl=en&client=ms-android-verizon&sky=mrdr&site=webhp&prmd=imvns&tbs=ppl_ids:--115468185101478833082-,ppl_nps:Ben+Popken,ppl_aut:1&sa=X&ei=4klTUP-8K4X49gS4nYD4Dw&ved=0CGcQ_RYwDQ
091401	0	0	8	-1	4	https://profiles.google.com/115468185101478833082
091401	0	0	8	-1	5	/search?q=enterprise+rental+car&hl=en&client=ms-android-verizon&sky=mrdr&site=webhp&prmd=imvns&tbs=ppl_ids:--115468185101478833082-,ppl_nps:Ben+Popken,ppl_aut:1&sa=X&ei=4klTUP-8K4X49gS4nYD4Dw&ved=0CGsQnxYwDQ
091401	0	0	9	-1	-1	http://m.retailmenot.com/view/enterprise.com
091401	0	0	9	-1	0	http://m.retailmenot.com/view/enterprise.com
091401	0	0	9	-1	1	/search?hl=en&client=ms-android-verizon&sky=mrdr&site=webhp&q=related:m.retailmenot.com/view/enterprise.com+enterprise+rental+car&tbo=1&sa=X&ei=4klTUP-8K4X49gS4nYD4Dw&ved=0CHEQHzAO
091401	0	0	9	-1	2	#
091401	0	0	10	-1	-1	http://transportation.stanford.edu/enterprise/
091401	0	0	10	-1	0	http://transportation.stanford.edu/enterprise/
091401	0	0	10	-1	1	/search?hl=en&client=ms-android-verizon&sky=mrdr&site=webhp&q=related:transportation.stanford.edu/enterprise/+enterprise+rental+car&tbo=1&sa=X&ei=4klTUP-8K4X49gS4nYD4Dw&ved=0CHQQHzAP
091401	0	0	10	-1	2	#
091401	1	0	0	-1	-1	http://www.usatoday.com/life/books/news/2011-01-12-top-books-2010_N.htm
091401	1	0	0	-1	0	http://www.usatoday.com/life/books/news/2011-01-12-top-books-2010_N.htm
091401	1	0	0	-1	1	#
091401	1	0	1	-1	-1	http://www.usatoday.com/life/books/news/story/2012-01-11/100-best-selling-books-of-2011/52504752/1
091401	1	0	1	-1	0	http://www.usatoday.com/life/books/news/story/2012-01-11/100-best-selling-books-of-2011/52504752/1
091401	1	0	1	-1	1	#
091401	1	0	2	-1	-1	http://www.huffingtonpost.com/mobileweb/2011/12/28/bestselling-books-of-2011_n_1173104.html
091401	1	0	2	-1	0	http://www.huffingtonpost.com/mobileweb/2011/12/28/bestselling-books-of-2011_n_1173104.html
091401	1	0	2	-1	1	#
091401	1	0	3	-1	-1	http://articles.cnn.com/2011-11-03/tech/tech_innovation_steve-jobs-book-sales_1_simon-schuster-steve-jobs-walter-isaacson?_s=PM:TECH
